id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,icao_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
348510,CO-0061,small_airport,"Puerto Inglés Airport",11.98163,-71.19072,,SA,Colombia,CO,"La Guajira Department",CO-LAG,LAG,Uribia,0,,,,,,,,50,2021-10-08T18:04:37+00:00
32550,SKUR,small_airport,"Urrao Airport",6.32883,-76.1425,6090,SA,Colombia,CO,"Antioquía Department",CO-ANT,ANT,Urrao,0,SKUR,SKUR,URR,URR,,https://en.wikipedia.org/wiki/Urrao_Airport,,50,2024-05-16T20:32:14+00:00
40736,SK-151,small_airport,"Campo Alegre Airport",10.6475,-73.148056,677,SA,Colombia,CO,"César Department",CO-CES,CES,Valledupa,0,,,,VAP,,,,50,2009-10-20T10:45:36+00:00
40770,SK-182,small_airport,"Sala 77 Airport",10.355556,-73.333333,388,SA,Colombia,CO,"César Department",CO-CES,CES,Valledupa,0,,,,SSC,,,,50,2009-10-20T10:45:39+00:00
40776,SK-177,small_airport,"Madaci Airport",10.3275,-73.371944,385,SA,Colombia,CO,"César Department",CO-CES,CES,Valledupa,0,,,,VDP,,,,50,2009-10-20T10:45:38+00:00
40804,SK-187,small_airport,"Villa Rosa Airport",10.203889,-73.555556,316,SA,Colombia,CO,"César Department",CO-CES,CES,Valledupa,0,,,,VDL,,,,50,2009-10-20T10:45:39+00:00
40843,SK-379,small_airport,"Campo Capote Airport",6.75,-73.916667,310,SA,Colombia,CO,"Santander Department",CO-SAN,SAN,Velez,0,,,,CAC,,,,50,2009-10-20T10:45:55+00:00
6174,SKVG,small_airport,"Villa Garzón Airport",0.978767,-76.6056,1248,SA,Colombia,CO,"Putumayo Department",CO-PUT,PUT,"Villa Garzón",0,SKVG,SKVG,VGZ,VGZ,,https://en.wikipedia.org/wiki/Villa_Garz%C3%B3n_Airport,,50,2016-02-06T23:40:13+00:00
40704,SK-058,small_airport,"Colegial Airport",4.487222,-72.760278,585,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Villanueva,0,,,,VNL,,,,50,2009-10-20T10:45:30+00:00
40705,SK-124,small_airport,"Santa Helena De Upia Airport",4.35,-72.760278,546,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Villanueva,0,,,,SHL,,,,50,2009-10-20T10:45:34+00:00
40707,SK-127,small_airport,"Señorías Airport",4.387778,-72.7775,561,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Villanueva,0,,,,VLE,,,,50,2009-10-20T10:45:34+00:00
40708,SK-128,small_airport,"Soceagro Airport",4.483889,-72.8225,612,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Villanueva,0,,,,VNU,,,,50,2009-10-20T10:45:34+00:00
40710,SK-114,small_airport,"Palmas Del Casana Airport",4.601944,-72.829722,655,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Villanueva,0,,,,VIL,,,,50,2009-10-20T10:45:34+00:00
40712,SK-112,small_airport,"Palmar De Oriente Airport",4.498611,-72.845833,652,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Villanueva,0,,,,VLU,,,,50,2009-10-20T10:45:34+00:00
40715,SK-073,small_airport,"El Vigía Airport",4.562222,-72.9425,725,SA,Colombia,CO,"Casanare Department",CO-CAS,CAS,Villanueva,0,,,,EVC,,,,50,2009-10-20T10:45:32+00:00
40723,SK-254,small_airport,"Villanueva Airport",10.583333,-73.016667,667,SA,Colombia,CO,"La Guajira Department",CO-LAG,LAG,Villanueva,0,,,,VLL,,,,50,2009-10-20T10:45:45+00:00
40737,SK-280,small_airport,"El Diamante Airport",3.893333,-73.176667,698,SA,Colombia,CO,"Meta Department",CO-MET,MET,Villavicencio,0,,,,VCC,,,,50,2009-10-20T10:45:47+00:00
40740,SK-342,small_airport,"San Luis De Airport",4.049167,-73.191111,682,SA,Colombia,CO,"Meta Department",CO-MET,MET,Villavicencio,0,,,,VVE,,,,50,2009-10-20T10:45:52+00:00
40743,SK-347,small_airport,"Santa Isabel Airport",3.988889,-73.209167,711,SA,Colombia,CO,"Meta Department",CO-MET,MET,Villavicencio,0,,,,VVU,,,,50,2009-10-20T10:45:53+00:00
40748,SK-330,small_airport,"Neiva York Airport",4.089722,-73.232778,726,SA,Colombia,CO,"Meta Department",CO-MET,MET,Villavicencio,0,,,,VVN,,,,50,2009-10-20T10:45:52+00:00
40761,SK-274,small_airport,"Canaima Airport",4.118056,-73.266944,761,SA,Colombia,CO,"Meta Department",CO-MET,MET,Villavicencio,0,,,,CMA,,,,50,2009-10-20T10:45:47+00:00
